contig_id,cluster_id
NODE_9_length_108882_cov_7.303592.concoct_part_0,28
NODE_9_length_108882_cov_7.303592.concoct_part_1,28
NODE_9_length_108882_cov_7.303592.concoct_part_2,28
NODE_9_length_108882_cov_7.303592.concoct_part_3,28
NODE_9_length_108882_cov_7.303592.concoct_part_4,28
NODE_9_length_108882_cov_7.303592.concoct_part_5,28
NODE_9_length_108882_cov_7.303592.concoct_part_6,28
NODE_9_length_108882_cov_7.303592.concoct_part_7,28
NODE_9_length_108882_cov_7.303592.concoct_part_8,28
NODE_9_length_108882_cov_7.303592.concoct_part_9,28
NODE_10_length_107001_cov_7.145008.concoct_part_0,28
NODE_10_length_107001_cov_7.145008.concoct_part_1,28
NODE_10_length_107001_cov_7.145008.concoct_part_2,28
NODE_10_length_107001_cov_7.145008.concoct_part_3,28
NODE_10_length_107001_cov_7.145008.concoct_part_4,28
NODE_10_length_107001_cov_7.145008.concoct_part_5,28
NODE_10_length_107001_cov_7.145008.concoct_part_6,28
NODE_10_length_107001_cov_7.145008.concoct_part_7,28
NODE_10_length_107001_cov_7.145008.concoct_part_8,28
NODE_10_length_107001_cov_7.145008.concoct_part_9,28
NODE_11_length_88627_cov_7.075848.concoct_part_0,28
NODE_11_length_88627_cov_7.075848.concoct_part_1,28
NODE_11_length_88627_cov_7.075848.concoct_part_2,28
NODE_11_length_88627_cov_7.075848.concoct_part_3,28
NODE_11_length_88627_cov_7.075848.concoct_part_4,28
NODE_11_length_88627_cov_7.075848.concoct_part_5,28
NODE_11_length_88627_cov_7.075848.concoct_part_6,28
NODE_11_length_88627_cov_7.075848.concoct_part_7,28
NODE_12_length_70986_cov_7.353639.concoct_part_0,28
NODE_12_length_70986_cov_7.353639.concoct_part_1,28
NODE_12_length_70986_cov_7.353639.concoct_part_2,28
NODE_12_length_70986_cov_7.353639.concoct_part_3,28
NODE_12_length_70986_cov_7.353639.concoct_part_4,28
NODE_12_length_70986_cov_7.353639.concoct_part_5,28
NODE_12_length_70986_cov_7.353639.concoct_part_6,28
NODE_13_length_68384_cov_7.780035.concoct_part_0,28
NODE_13_length_68384_cov_7.780035.concoct_part_1,28
NODE_13_length_68384_cov_7.780035.concoct_part_2,28
NODE_13_length_68384_cov_7.780035.concoct_part_3,28
NODE_13_length_68384_cov_7.780035.concoct_part_4,12
NODE_13_length_68384_cov_7.780035.concoct_part_5,28
NODE_14_length_61854_cov_7.382530.concoct_part_0,28
NODE_14_length_61854_cov_7.382530.concoct_part_1,28
NODE_14_length_61854_cov_7.382530.concoct_part_2,28
NODE_14_length_61854_cov_7.382530.concoct_part_3,28
NODE_14_length_61854_cov_7.382530.concoct_part_4,28
NODE_14_length_61854_cov_7.382530.concoct_part_5,28
NODE_15_length_58494_cov_5.000702.concoct_part_0,30
NODE_15_length_58494_cov_5.000702.concoct_part_1,30
NODE_15_length_58494_cov_5.000702.concoct_part_2,30
NODE_15_length_58494_cov_5.000702.concoct_part_3,30
NODE_15_length_58494_cov_5.000702.concoct_part_4,30
NODE_16_length_56380_cov_7.199947.concoct_part_0,28
NODE_16_length_56380_cov_7.199947.concoct_part_1,28
NODE_16_length_56380_cov_7.199947.concoct_part_2,28
NODE_16_length_56380_cov_7.199947.concoct_part_3,28
NODE_16_length_56380_cov_7.199947.concoct_part_4,28
NODE_17_length_49195_cov_7.957387.concoct_part_0,28
NODE_17_length_49195_cov_7.957387.concoct_part_1,28
NODE_17_length_49195_cov_7.957387.concoct_part_2,28
NODE_17_length_49195_cov_7.957387.concoct_part_3,28
NODE_18_length_44181_cov_7.336582.concoct_part_0,28
NODE_18_length_44181_cov_7.336582.concoct_part_1,28
NODE_18_length_44181_cov_7.336582.concoct_part_2,28
NODE_18_length_44181_cov_7.336582.concoct_part_3,28
NODE_19_length_42449_cov_7.347526.concoct_part_0,28
NODE_19_length_42449_cov_7.347526.concoct_part_1,28
NODE_19_length_42449_cov_7.347526.concoct_part_2,28
NODE_19_length_42449_cov_7.347526.concoct_part_3,28
NODE_20_length_42424_cov_7.111025.concoct_part_0,28
NODE_20_length_42424_cov_7.111025.concoct_part_1,28
NODE_20_length_42424_cov_7.111025.concoct_part_2,28
NODE_20_length_42424_cov_7.111025.concoct_part_3,28
NODE_21_length_42294_cov_7.328819.concoct_part_0,28
NODE_21_length_42294_cov_7.328819.concoct_part_1,28
NODE_21_length_42294_cov_7.328819.concoct_part_2,28
NODE_21_length_42294_cov_7.328819.concoct_part_3,28
NODE_22_length_39291_cov_7.789530.concoct_part_0,28
NODE_22_length_39291_cov_7.789530.concoct_part_1,28
NODE_22_length_39291_cov_7.789530.concoct_part_2,28
NODE_23_length_37347_cov_7.529738.concoct_part_0,28
NODE_23_length_37347_cov_7.529738.concoct_part_1,28
NODE_23_length_37347_cov_7.529738.concoct_part_2,28
NODE_24_length_36446_cov_6.713611.concoct_part_0,28
NODE_24_length_36446_cov_6.713611.concoct_part_1,28
NODE_24_length_36446_cov_6.713611.concoct_part_2,28
NODE_25_length_36437_cov_7.355368.concoct_part_0,28
NODE_25_length_36437_cov_7.355368.concoct_part_1,28
NODE_25_length_36437_cov_7.355368.concoct_part_2,28
NODE_26_length_32545_cov_3.769960.concoct_part_0,27
NODE_26_length_32545_cov_3.769960.concoct_part_1,27
NODE_26_length_32545_cov_3.769960.concoct_part_2,27
NODE_27_length_30927_cov_3.503919.concoct_part_0,27
NODE_27_length_30927_cov_3.503919.concoct_part_1,27
NODE_27_length_30927_cov_3.503919.concoct_part_2,27
NODE_28_length_30784_cov_3.781086.concoct_part_0,27
NODE_28_length_30784_cov_3.781086.concoct_part_1,27
NODE_28_length_30784_cov_3.781086.concoct_part_2,27
NODE_29_length_29678_cov_7.965230.concoct_part_0,28
NODE_29_length_29678_cov_7.965230.concoct_part_1,28
NODE_30_length_27028_cov_7.639306.concoct_part_0,28
NODE_30_length_27028_cov_7.639306.concoct_part_1,28
NODE_31_length_26264_cov_3.775039.concoct_part_0,27
NODE_31_length_26264_cov_3.775039.concoct_part_1,27
NODE_32_length_26246_cov_8.357260.concoct_part_0,28
NODE_32_length_26246_cov_8.357260.concoct_part_1,28
NODE_33_length_25751_cov_3.525918.concoct_part_0,27
NODE_33_length_25751_cov_3.525918.concoct_part_1,27
NODE_34_length_24106_cov_3.368675.concoct_part_0,27
NODE_34_length_24106_cov_3.368675.concoct_part_1,27
NODE_35_length_23618_cov_7.392055.concoct_part_0,28
NODE_35_length_23618_cov_7.392055.concoct_part_1,28
NODE_36_length_22368_cov_3.294223.concoct_part_0,27
NODE_36_length_22368_cov_3.294223.concoct_part_1,27
NODE_37_length_21919_cov_7.757135.concoct_part_0,28
NODE_37_length_21919_cov_7.757135.concoct_part_1,28
NODE_38_length_21669_cov_7.317942.concoct_part_0,28
NODE_38_length_21669_cov_7.317942.concoct_part_1,28
NODE_39_length_21581_cov_3.179225.concoct_part_0,28
NODE_39_length_21581_cov_3.179225.concoct_part_1,10
NODE_40_length_21234_cov_3.328344.concoct_part_0,27
NODE_40_length_21234_cov_3.328344.concoct_part_1,27
NODE_41_length_20506_cov_3.397047.concoct_part_0,27
NODE_41_length_20506_cov_3.397047.concoct_part_1,27
NODE_42_length_20103_cov_4.434457.concoct_part_0,30
NODE_42_length_20103_cov_4.434457.concoct_part_1,30
NODE_43_length_19761_cov_3.055465.concoct_part_0,10
NODE_44_length_18977_cov_4.483194.concoct_part_0,25
NODE_45_length_18754_cov_2.737580.concoct_part_0,28
NODE_46_length_18553_cov_3.124122.concoct_part_0,27
NODE_47_length_18443_cov_13.427942.concoct_part_0,27
NODE_48_length_18393_cov_7.634420.concoct_part_0,28
NODE_49_length_18244_cov_3.720985.concoct_part_0,27
NODE_50_length_18218_cov_2.804768.concoct_part_0,4
NODE_51_length_18101_cov_2.728361.concoct_part_0,10
NODE_52_length_17949_cov_4.426065.concoct_part_0,28
NODE_53_length_17717_cov_4.092741.concoct_part_0,27
NODE_54_length_17706_cov_3.406832.concoct_part_0,27
NODE_55_length_17518_cov_3.263987.concoct_part_0,27
NODE_56_length_17219_cov_2.994815.concoct_part_0,4
NODE_57_length_17100_cov_3.683133.concoct_part_0,27
